2026-02-03 11:30:56 | DEBUG    | water_balance | debug:414 | No data for 2026/2, using most recent date from sheet
2026-02-03 11:30:56 | DEBUG    | water_balance | debug:414 | No data for 2026/2, using most recent date from sheet
2026-02-03 11:30:56 | DEBUG    | water_balance | debug:414 | No data for 2026/2, using most recent date from sheet
2026-02-03 11:30:56 | DEBUG    | water_balance | debug:414 | No data for 2026/2, using most recent date from sheet
2026-02-03 11:31:03 | DEBUG    | water_balance | debug:414 | No data for 2026/2, using most recent date from sheet
2026-02-03 11:31:03 | DEBUG    | water_balance | debug:414 | No data for 2026/2, using most recent date from sheet
2026-02-03 11:31:03 | DEBUG    | water_balance | debug:414 | No data for 2026/2, using most recent date from sheet
2026-02-03 11:31:03 | DEBUG    | water_balance | debug:414 | No data for 2026/2, using most recent date from sheet
2026-02-03 11:31:03 | DEBUG    | water_balance | debug:414 | No data for 2026/2, using most recent date from sheet
2026-02-03 11:31:03 | DEBUG    | water_balance | debug:414 | No data for 2026/2, using most recent date from sheet
2026-02-03 11:31:03 | DEBUG    | water_balance | debug:414 | No data for 2026/2, using most recent date from sheet
2026-02-03 11:31:03 | DEBUG    | water_balance | debug:414 | No data for 2026/2, using most recent date from sheet
2026-02-03 11:31:03 | DEBUG    | water_balance | debug:414 | No data for 2026/2, using most recent date from sheet
2026-02-03 11:31:03 | DEBUG    | water_balance | debug:414 | No data for 2026/2, using most recent date from sheet
2026-02-03 11:38:47 | INFO     | water_balance | shutdown:475 | Shutting down background logger...
2026-02-03 11:53:09 | DEBUG    | water_balance | __init__:408 | ============================================================
2026-02-03 11:53:09 | DEBUG    | water_balance | __init__:409 | Water Balance Application Started
2026-02-03 11:53:09 | DEBUG    | water_balance | __init__:410 | ============================================================
2026-02-03 11:53:09 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:53:09 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 1 rows, 4 columns
2026-02-03 11:53:28 | DEBUG    | water_balance | __init__:408 | ============================================================
2026-02-03 11:53:28 | DEBUG    | water_balance | __init__:409 | Water Balance Application Started
2026-02-03 11:53:28 | DEBUG    | water_balance | __init__:410 | ============================================================
2026-02-03 11:53:28 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:53:28 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 1 rows, 4 columns
2026-02-03 11:53:29 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:53:29 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 1 rows, 4 columns
2026-02-03 11:53:29 | ERROR    | water_balance | error:426 | Column 'BH_to_Sump' not found in sheet 'Flows_Test'
2026-02-03 11:53:29 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:53:29 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 1 rows, 4 columns
2026-02-03 11:53:29 | ERROR    | water_balance | error:426 | Column 'Sump_to_Plant' not found in sheet 'Flows_Test'
2026-02-03 11:53:29 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
