2026-01-30 19:00:03 | INFO     | run:181 | Loaded Boreholes Static Levels Q 3  2022.xls: 27 rows, 6 columns
2026-01-30 19:00:03 | INFO     | run:181 | Loaded Boreholes Static Levels Q3  2021.xls: 27 rows, 5 columns
2026-01-30 19:00:03 | INFO     | run:199 | Combined 4 files into DataFrame: 108 total rows, 6 columns
2026-01-30 19:00:03 | INFO     | run:217 | Directory loading complete
2026-01-30 19:00:42 | INFO     | get_dashboard_logger:565 | === MONITORING.STATIC_BOREHOLES Dashboard Logger Initialized ===
2026-01-30 19:00:42 | INFO     | __init__:83 | DirectoryLoadWorker initialized for static_boreholes
2026-01-30 19:00:42 | INFO     | load_directory:93 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Static Boreholes
2026-01-30 19:00:42 | INFO     | run:150 | Found 4 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Static Boreholes
2026-01-30 19:00:43 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2021.xls: 27 rows, 5 columns
2026-01-30 19:00:43 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2022.xls: 27 rows, 5 columns
2026-01-30 19:00:43 | INFO     | run:181 | Loaded Boreholes Static Levels Q 3  2022.xls: 27 rows, 6 columns
2026-01-30 19:00:43 | INFO     | run:181 | Loaded Boreholes Static Levels Q3  2021.xls: 27 rows, 5 columns
2026-01-30 19:00:43 | INFO     | run:199 | Combined 4 files into DataFrame: 108 total rows, 6 columns
2026-01-30 19:00:43 | INFO     | run:217 | Directory loading complete
2026-01-30 19:03:01 | INFO     | get_dashboard_logger:565 | === MONITORING.STATIC_BOREHOLES Dashboard Logger Initialized ===
2026-01-30 19:03:01 | INFO     | __init__:83 | DirectoryLoadWorker initialized for static_boreholes
2026-01-30 19:03:01 | INFO     | load_directory:93 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Static Boreholes
2026-01-30 19:03:01 | INFO     | run:150 | Found 4 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Static Boreholes
2026-01-30 19:03:01 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2021.xls: 27 rows, 5 columns
