2026-01-30 23:41:11 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-30 23:41:12 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-30 23:41:12 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-30 23:41:12 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-30 23:41:12 | INFO     | run:231 | Directory loading complete
2026-01-30 23:42:37 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-30 23:42:37 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-30 23:42:37 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-30 23:42:37 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-30 23:42:38 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-30 23:42:38 | INFO     | run:231 | Directory loading complete
2026-01-30 23:44:32 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-30 23:44:32 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-30 23:44:32 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-30 23:44:32 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-30 23:44:32 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-30 23:44:32 | INFO     | run:231 | Directory loading complete
2026-01-30 23:45:22 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-30 23:45:22 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-30 23:45:22 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-30 23:45:22 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-30 23:45:22 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-30 23:45:22 | INFO     | run:231 | Directory loading complete
2026-01-30 23:46:39 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-30 23:46:39 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-30 23:46:39 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-30 23:46:39 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-30 23:46:39 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-30 23:46:39 | INFO     | run:231 | Directory loading complete
2026-01-30 23:47:40 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-30 23:47:40 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-30 23:47:40 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-30 23:47:40 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-30 23:47:40 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-30 23:47:40 | INFO     | run:231 | Directory loading complete
2026-01-30 23:49:38 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-30 23:49:38 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-30 23:49:38 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-30 23:49:38 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-30 23:49:38 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-30 23:49:38 | INFO     | run:231 | Directory loading complete
2026-01-30 23:52:21 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-30 23:52:21 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-30 23:52:21 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-30 23:52:21 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-30 23:52:22 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-30 23:52:22 | INFO     | run:231 | Directory loading complete
2026-01-30 23:53:48 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-30 23:53:48 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-30 23:53:48 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-30 23:53:48 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-30 23:53:49 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-30 23:53:49 | INFO     | run:231 | Directory loading complete
2026-01-30 23:54:48 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-30 23:54:48 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-30 23:54:48 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-30 23:54:48 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-30 23:54:49 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-30 23:54:49 | INFO     | run:231 | Directory loading complete
2026-01-30 23:58:51 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-30 23:58:51 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-30 23:58:51 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-30 23:58:51 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-30 23:58:52 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-30 23:58:52 | INFO     | run:231 | Directory loading complete
2026-01-31 00:01:00 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-31 00:01:00 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-31 00:01:00 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
